Time,Vertical Speed,Horizontal Speed,Distance,Altitude,Angle,Weight,Acceleration Rate,Fuel
0,24.800,932.000,181000.000,13748.000,58.300,286.000,0.000,121.000
10,24.739,919.963,171739.826,13496.496,58.300,284.418,1.597,119.418
20,23.826,906.340,162615.059,13254.194,58.300,282.817,1.606,117.817
30,22.996,892.641,153626.940,13020.563,58.300,281.217,1.615,116.217
40,22.249,878.863,144776.248,12794.777,58.300,279.616,1.624,114.616
50,21.585,865.006,136063.769,12576.005,58.300,278.016,1.634,113.016
60,21.004,851.069,127490.299,12363.418,58.300,276.415,1.643,111.415
70,20.506,837.051,119056.642,12156.183,58.300,274.814,1.653,109.814
80,20.092,822.951,110763.614,11953.466,58.300,273.214,1.663,108.214
90,19.838,808.893,102611.706,11754.226,58.300,271.632,1.624,106.632
100,20.012,795.312,94597.898,11555.260,58.300,270.114,1.563,105.114
110,20.469,781.984,86718.023,11352.696,58.300,268.627,1.571,103.627
120,21.008,768.581,78971.838,11145.112,58.300,267.140,1.580,102.140
130,21.629,755.104,71360.089,10931.688,58.300,265.652,1.589,100.652
140,22.332,741.551,63883.527,10711.602,58.300,264.165,1.598,99.165
150,23.117,727.922,56542.915,10484.032,58.300,262.677,1.607,97.677
160,23.985,714.215,49339.021,10248.154,58.300,261.190,1.616,96.190
170,24.936,700.430,42272.625,10003.139,58.300,259.703,1.625,94.703
180,25.832,686.342,35345.260,9748.619,58.300,258.185,1.701,93.185
190,26.431,671.550,28562.607,9486.755,58.300,256.601,1.785,91.601
200,26.729,656.037,21931.827,9220.558,58.300,254.951,1.871,89.951
210,26.723,639.789,15460.211,8953.050,58.300,253.233,1.958,88.233
220,26.413,622.791,9155.189,8687.270,58.300,251.450,2.047,86.450
230,25.796,605.028,3024.339,8426.276,58.300,249.599,2.138,84.599
240,24.870,586.485,-2924.606,8173.150,58.300,247.683,2.223,82.683
250,23.853,567.504,-8685.181,7930.117,58.300,245.743,2.241,80.743
260,22.924,548.372,-14255.118,7696.771,58.300,243.802,2.258,78.802
270,22.084,529.088,-19632.901,7472.221,58.300,241.862,2.277,76.862
280,21.333,509.648,-24816.987,7255.581,58.300,239.922,2.295,74.922
290,20.671,490.050,-29805.810,7045.963,58.300,237.982,2.314,72.982
300,20.097,470.292,-34597.778,6842.481,58.300,236.041,2.333,71.041
310,19.731,450.564,-39191.849,6643.893,58.300,234.125,2.287,69.125
320,19.865,431.344,-43591.337,6446.275,58.300,232.275,2.224,67.275
330,20.425,412.522,-47801.219,6244.719,58.300,230.472,2.217,65.472
340,21.100,393.594,-51822.456,6036.832,58.300,228.672,2.234,63.672
350,21.864,374.516,-55653.591,5821.705,58.300,226.871,2.252,61.871
360,22.716,355.287,-59293.116,5598.452,58.300,225.071,2.270,60.071
370,23.658,335.903,-62739.497,5366.184,58.300,223.271,2.288,58.271
380,24.688,316.362,-65991.178,5124.014,58.300,221.470,2.307,56.470
390,25.712,296.508,-69046.165,4871.306,58.300,219.651,2.386,54.651
400,26.399,275.795,-71898.075,4610.106,58.300,217.767,2.494,52.767
410,26.716,254.158,-74537.793,4344.064,58.300,215.817,2.604,50.817
