Time,Vertical Speed,Horizontal Speed,Distance,Altitude,Angle,Weight,Acceleration Rate,Fuel
0,24.800,932.000,181000.000,13748.000,58.300,286.000,0.000,121.000
1,25.533,932.000,180068.000,13722.467,61.000,286.000,0.000,121.000
2,26.266,932.000,179136.000,13696.202,61.000,285.778,2.205,120.778
3,25.930,930.072,178205.928,13670.272,61.000,285.556,2.206,120.556
4,25.595,928.142,177277.786,13644.678,61.000,285.334,2.208,120.334
5,25.261,926.211,176351.575,13619.417,61.000,285.112,2.210,120.112
6,24.928,924.279,175427.296,13594.490,61.000,284.890,2.211,119.890
7,24.596,922.344,174504.952,13569.894,61.000,284.890,0.000,119.890
8,25.338,922.344,173582.607,13544.556,61.000,284.890,0.000,119.890
9,26.080,922.344,172660.263,13518.477,61.000,284.668,2.213,119.668
10,25.749,920.409,171739.854,13492.728,61.000,284.446,2.215,119.446
11,25.419,918.472,170821.382,13467.310,61.000,284.224,2.217,119.224
12,25.090,916.533,169904.849,13442.220,61.000,284.002,2.218,119.002
13,24.762,914.593,168990.256,13417.458,61.000,283.911,0.911,118.911
14,25.070,913.796,168076.460,13392.389,61.000,283.911,0.000,118.911
15,25.820,913.796,167162.663,13366.569,61.000,283.840,0.707,118.840
16,26.227,913.178,166249.486,13340.342,61.000,283.618,2.221,118.618
17,25.901,911.235,165338.251,13314.441,61.000,283.396,2.223,118.396
18,25.576,909.291,164428.960,13288.866,61.000,283.174,2.225,118.174
19,25.251,907.345,163521.616,13263.614,61.000,282.952,2.227,117.952
20,24.928,905.397,162616.218,13238.686,61.000,282.730,2.228,117.730
21,24.606,903.448,161712.770,13214.080,61.000,282.730,0.000,117.730
22,25.366,903.448,160809.321,13188.714,61.000,282.730,0.000,117.730
23,26.126,903.448,159905.873,13162.588,61.000,282.508,2.230,117.508
24,25.805,901.498,159004.375,13136.783,61.000,282.286,2.232,117.286
25,25.485,899.546,158104.829,13111.298,61.000,282.064,2.234,117.064
26,25.166,897.593,157207.236,13086.132,61.000,281.842,2.235,116.842
27,24.848,895.638,156311.598,13061.284,61.000,281.672,1.709,116.672
28,24.786,894.143,155417.456,13036.498,61.000,281.672,0.000,116.672
29,25.555,894.143,154523.313,13010.943,61.000,281.672,0.000,116.672
30,26.324,894.143,153629.171,12984.618,61.000,281.450,2.238,116.450
31,26.008,892.185,152736.986,12958.610,61.000,281.228,2.240,116.228
32,25.693,890.226,151846.760,12932.918,61.000,281.006,2.242,116.006
33,25.378,888.265,150958.495,12907.540,61.000,280.784,2.244,115.784
34,25.065,886.302,150072.193,12882.475,61.000,280.562,2.245,115.562
35,24.753,884.338,149187.854,12857.722,61.000,280.496,0.676,115.496
