Time,Vertical Speed,Horizontal Speed,Distance,Altitude,Angle,Weight,Acceleration Rate,Fuel
0,24.8,932,181000,13748,58.3,286,0,121
1,25.533,932,180068,13722.467,58.3,285.845,1.543,120.845
2,25.455,930.687,179137.313,13697.012,58.3,285.689,1.55,120.689
3,25.374,929.368,178207.944,13671.638,58.3,285.532,1.558,120.532
4,25.291,928.043,177279.901,13646.347,58.3,285.374,1.565,120.374
5,25.205,926.711,176353.19,13621.142,58.3,285.216,1.573,120.216
6,25.116,925.373,175427.816,13596.026,58.3,285.058,1.58,120.058
7,25.025,924.029,174503.788,13571.001,58.3,284.898,1.588,119.898
8,24.931,922.678,173581.11,13546.069,58.3,284.738,1.595,119.738
9,24.835,921.321,172659.789,13521.235,58.3,284.578,1.596,119.578
10,24.739,919.963,171739.826,13496.496,58.3,284.418,1.597,119.418
11,24.644,918.604,170821.222,13471.852,58.3,284.258,1.598,119.258
12,24.55,917.244,169903.978,13447.302,58.3,284.098,1.599,119.098
13,24.456,915.884,168988.094,13422.846,58.3,283.938,1.6,118.938
14,24.364,914.523,168073.571,13398.482,58.3,283.778,1.601,118.778
15,24.272,913.161,167160.41,13374.21,58.3,283.618,1.602,118.618
16,24.181,911.798,166248.611,13350.028,58.3,283.458,1.602,118.458
17,24.091,910.435,165338.176,13325.937,58.3,283.298,1.603,118.298
18,24.002,909.071,164429.105,13301.934,58.3,283.138,1.604,118.138
19,23.914,907.706,163521.399,13278.021,58.3,282.977,1.605,117.977
20,23.826,906.34,162615.059,13254.194,58.3,282.817,1.606,117.817
21,23.74,904.974,161710.085,13230.455,58.3,282.657,1.607,117.657
22,23.654,903.607,160806.479,13206.801,58.3,282.497,1.608,117.497
23,23.569,902.239,159904.24,13183.232,58.3,282.337,1.609,117.337
24,23.484,900.87,159003.37,13159.748,58.3,282.177,1.61,117.177
25,23.401,899.5,158103.87,13136.347,58.3,282.017,1.611,117.017
26,23.318,898.13,157205.741,13113.028,58.3,281.857,1.612,116.857
